sentence1,sentence2,label,heuristics,number-of-np,semtag,example1,example2,note
np1 が np2 を tv-o,np2 を np1 が tv-o,entailment,overlap-full,2,scrambling,犬が猫を追いかけた,猫を犬が追いかけた,
np1 が np2 を tv-o,np2 は np1 が tv-o,entailment,overlap-nonorder,2,scrambling;wa,犬が猫を追いかけた,猫は犬が追いかけた,
np1 が np2 を tv-o,np1 を np2 が tv-o,non-entailment,overlap-full,2,scrambling;particle-swap,犬が猫を追いかけた,犬を猫が追いかけた,
np1 が np2 を tv-o,np2 が np1 を tv-o,non-entailment,overlap-full,2,scrambling;np-swap,犬が猫を追いかけた,猫が犬を追いかけた,
np1 を np2 が tv-o,np2 が np1 を tv-o,entailment,overlap-full,2,scrambling,猫を犬が追いかけた,犬が猫を追いかけた,
np1 を np2 が tv-o,np2 は np1 を tv-o,entailment,overlap-nonorder,2,scrambling;wa,猫を犬が追いかけた,犬は猫を追いかけた,
np1 を np2 が tv-o,np1 が np2 を tv-o,non-entailment,overlap-full,2,scrambling;particle-swap,猫を犬が追いかけた,猫が犬を追いかけた,
np1 を np2 が tv-o,np2 を np1 が tv-o,non-entailment,overlap-full,2,scrambling;np-swap,猫を犬が追いかけた,犬を猫が追いかけた,
np1 が np2 に tv-ni,np2 に np1 が tv-ni,entailment,overlap-full,2,scrambling,犬が猫に噛みついた,猫に犬が噛みついた,
np1 が np2 に tv-ni,np2 は np1 が tv-ni,entailment,overlap-nonorder,2,scrambling;wa,犬が猫に噛みついた,猫は犬が噛みついた,
np1 が np2 に tv-ni,np1 に np2 が tv-ni,non-entailment,overlap-full,2,scrambling;particle-swap,犬が猫に噛みついた,犬に猫が噛みついた,
np1 が np2 に tv-ni,np2 が np1 に tv-ni,non-entailment,overlap-full,2,scrambling;np-swap,犬が猫に噛みついた,猫が犬に噛みついた,
np1 に np2 が tv-ni,np2 が np1 に tv-ni,entailment,overlap-full,2,scrambling,猫に犬が噛みついた,犬が猫に噛みついた,
np1 に np2 が tv-ni,np2 は np1 に tv-ni,entailment,overlap-nonorder,2,scrambling;wa,猫に犬が噛みついた,犬は猫に噛みついた,
np1 に np2 が tv-ni,np1 が np2 に tv-ni,non-entailment,overlap-full,2,scrambling;particle-swap,猫に犬が噛みついた,猫が犬に噛みついた,
np1 に np2 が tv-ni,np2 に np1 が tv-ni,non-entailment,overlap-full,2,scrambling;np-swap,猫に犬が噛みついた,犬に猫が追いかけた,
np1 か np2 が iv,np1 が iv,non-entailment,overlap-order,2,np-coordination;disjunction,犬か猫が転んだ,犬が転んだ,
np1 か np2 が iv,np2 が iv,non-entailment,subsequence,2,np-coordination;disjunction,犬か猫が転んだ,猫が転んだ,
np1 と np2 が iv,np1 が iv,entailment,overlap-order,2,np-coordination;conjunction,犬と猫が転んだ,犬が転んだ,
np1 と np2 が iv,np2 が iv,entailment,subsequence,2,np-coordination;conjunction,犬と猫が転んだ,猫が転んだ,
np1 が np2 か np3 を tv-o,np1 が np2 を tv-o,non-entailment,overlap-order,3,np-coordination;disjunction,猫が犬か子供を追いかけた,猫が犬を追いかけた,
np1 が np2 か np3 を tv-o,np1 が np3 を tv-o,non-entailment,overlap-order,3,np-coordination;disjunction,猫が犬か子供を追いかけた,猫が子供を追いかけた,
np1 が np2 と np3 を tv-o,np1 が np2 を tv-o,entailment,overlap-order,3,np-coordination;conjunction,猫が犬と子供を追いかけた,猫が犬を追いかけた,
np1 が np2 と np3 を tv-o,np1 が np3 を tv-o,entailment,overlap-order,3,np-coordination;conjunction,猫が犬と子供を追いかけた,猫が子供を追いかけた,
np2 か np3 を np1 が tv-o,np2 を np1 が tv-o,non-entailment,overlap-order,3,np-coordination;disjunction,犬か子供を猫が追いかけた,犬を猫が追いかけた,
np2 か np3 を np1 が tv-o,np3 を np1 が tv-o,non-entailment,subsequence,3,np-coordination;disjunction,犬か子供を猫が追いかけた,子供を猫が追いかけた,
np2 と np3 を np1 が tv-o,np2 を np1 が tv-o,entailment,overlap-order,3,np-coordination;conjunction,犬と子供を猫が追いかけた,犬を猫が追いかけた,
np2 と np3 を np1 が tv-o,np3 を np1 が tv-o,entailment,subsequence,3,np-coordination;conjunction,犬と子供を猫が追いかけた,子供を猫が追いかけた,
np1 が iv np2 を tv-o,np1 が iv,non-entailment,subsequence,2,gp-normal;o,子供が走っている猫を追いかけた,子供が走っている,
np1 が iv np2 を tv-o,np2 が iv,entailment,overlap-nonorder,2,gp-normal;o;relative-clause,子供が走っている猫を追いかけた,猫が走っている,
np1 が iv np2 を tv-o,np1 が np2 を tv-o,entailment,overlap-order,2,gp-normal;o;relative-clause,子供が走っている猫を追いかけた,子供が猫を追いかけた,
np1 が iv np2 を tv-o,np1 を np2 が tv-o,non-entailment,overlap-nonorder,2,gp-normal;o;particle-swap,子供が走っている猫を追いかけた,子供を猫が追いかけた,
np1 は iv np2 を tv-o,np1 は iv,non-entailment,subsequence,2,gp-wa;o,子供は走っている猫を追いかけた,子供は走っている,
np1 は iv np2 を tv-o,np2 は iv,entailment,overlap-nonorder,2,gp-wa;o;relative-clause,子供は走っている猫を追いかけた,猫は走っている,
np1 は iv np2 を tv-o,np1 は np2 を tv-o,entailment,overlap-order,2,gp-wa;o;relative-clause,子供は走っている猫を追いかけた,子供は猫を追いかけた,
np1 は iv np2 を tv-o,np1 を np2 は tv-o,non-entailment,overlap-nonorder,2,gp-wa;o;particle-swap,子供は走っている猫を追いかけた,子供を猫は追いかけた,
np1 が、 iv np2 を tv-o,np1 が iv,non-entailment,subsequence,2,gp-punctuation,子供が、走っている猫を追いかけた,子供が走っている,
np1 が、 iv np2 を tv-o,np2 が iv,entailment,overlap-nonorder,2,gp-punctuation;relative-clause,子供が、走っている猫を追いかけた,猫が走っている,
np1 が、 iv np2 を tv-o,np1 が np2 を tv-o,entailment,overlap-order,2,gp-punctuation;relative-clause,子供が、走っている猫を追いかけた,子供が猫を追いかけた,
np1 が、 iv np2 を tv-o,np1 を np2 が tv-o,non-entailment,overlap-nonorder,2,gp-punctuation;particle-swap,子供が、走っている猫を追いかけた,子供を猫が追いかけた,
np-nonhuman が iv-human np1 を tv-o,np-nonhuman が iv-human,non-entailment,subsequence,2,gp-selectional;o,猫がしゃべっている子供を追いかけた,猫がしゃべっている,
np-nonhuman が iv-human np1 を tv-o,np1 が iv-human,entailment,overlap-nonorder,2,gp-selectional;o;relative-clause,猫がしゃべっている子供を追いかけた,子供がしゃべっている,
np-nonhuman が iv-human np1 を tv-o,np-nonhuman が np1 を tv-o,entailment,overlap-order,2,gp-selectional;o;relative-clause,猫がしゃべっている子供を追いかけた,猫が子供を追いかけた,
np-nonhuman が iv-human np1 を tv-o,np-nonhuman を np1 が tv-o,non-entailment,overlap-nonorder,2,gp-selectional;o;particle-swap,猫がしゃべっている子供を追いかけた,猫を子供が追いかけた,
iv np2 を np1 が tv-o,np1 が iv,non-entailment,overlap-nonorder,2,gp-scrambling;o,走っている猫を子供が追いかけた,子供が走っている,
iv np2 を np1 が tv-o,np2 が iv,entailment,overlap-nonorder,2,gp-scrambling;o;relative-clause,走っている猫を子供が追いかけた,猫が走っている,
iv np2 を np1 が tv-o,np1 が np2 を tv-o,entailment,overlap-nonorder,2,gp-scrambling;o;relative-clause,走っている猫を子供が追いかけた,子供が猫を追いかけた,
iv np2 を np1 が tv-o,np1 を np2 が tv-o,non-entailment,overlap-nonorder,2,gp-scrambling;o;particle-swap,走っている猫を子供が追いかけた,子供を猫が追いかけた,
np1 が iv np2 に tv-ni,np1 が iv,non-entailment,subsequence,2,gp-normal;ni,子供が走っている犬に噛みついた,子供が走っている,
np1 が iv np2 に tv-ni,np2 が iv,entailment,overlap-nonorder,2,gp-normal;ni;relative-clause,子供が走っている犬に噛みついた,犬が走っている,
np1 が iv np2 に tv-ni,np1 が np2 に tv-ni,entailment,overlap-order,2,gp-normal;ni;relative-clause,子供が走っている犬に噛みついた,子供が犬に噛みついた,
np1 が iv np2 に tv-ni,np1 に np2 が tv-ni,non-entailment,overlap-nonorder,2,gp-normal;ni;particle-swap,子供が走っている犬に噛みついた,子供に犬が噛みついた,
np1 は iv np2 に tv-ni,np1 は iv,non-entailment,subsequence,2,gp-wa;ni,子供は走っている犬に噛みついた,子供が走っている,
np1 は iv np2 に tv-ni,np2 は iv,entailment,overlap-nonorder,2,gp-wa;ni;relative-clause,子供は走っている犬に噛みついた,犬が走っている,
np1 は iv np2 に tv-ni,np1 は np2 に tv-ni,entailment,overlap-order,2,gp-wa;ni;relative-clause,子供は走っている犬に噛みついた,子供が犬に噛みついた,
np1 は iv np2 に tv-ni,np1 に np2 は tv-ni,non-entailment,overlap-nonorder,2,gp-wa;ni;particle-swap,子供は走っている犬に噛みついた,子供に犬が噛みついた,
np1 が、 iv np2 に tv-ni,np1 が iv,non-entailment,subsequence,2,gp-punctuation;ni,子供が、走っている犬に噛みついた,子供が走っている,
np1 が、 iv np2 に tv-ni,np2 が iv,entailment,overlap-nonorder,2,gp-punctuation;ni;relative-clause,子供が、走っている犬に噛みついた,犬が走っている,
np1 が、 iv np2 に tv-ni,np1 が np2 に tv-ni,entailment,overlap-order,2,gp-punctuation;ni;relative-clause,子供が、走っている犬に噛みついた,子供が犬に噛みついた,
np1 が、 iv np2 に tv-ni,np1 に np2 が tv-ni,non-entailment,overlap-nonorder,2,gp-punctuation;ni;particle-swap,子供が、走っている犬に噛みついた,子供に犬が噛みついた,
np-nonhuman が iv-human np1 に tv-ni,np-nonhuman が iv-human,non-entailment,subsequence,2,gp-selectional;ni,猫がしゃべっている子供に噛みついた,猫がしゃべっている,
np-nonhuman が iv-human np1 に tv-ni,np1 が iv-human,entailment,overlap-nonorder,2,gp-selectional;ni;relative-clause,猫がしゃべっている子供に噛みついた,子供がしゃべっている,
np-nonhuman が iv-human np1 に tv-ni,np-nonhuman が np1 に tv-ni,entailment,overlap-order,2,gp-selectional;ni;relative-clause,猫がしゃべっている子供に噛みついた,猫が子供に噛みついた,
np-nonhuman が iv-human np1 に tv-ni,np-nonhuman に np1 が tv-ni,non-entailment,overlap-nonorder,2,gp-selectional;ni;particle-swap,猫がしゃべっている子供に噛みついた,猫を子供に追いかけた,
iv np2 に np1 が tv-ni,np1 が iv,non-entailment,overlap-nonorder,2,gp-scrambling;ni,パンを食べた犬に子供が噛みついた,子供がパンを食べた,
iv np2 に np1 が tv-ni,np2 が iv,entailment,overlap-nonorder,2,gp-scrambling;ni;relative-clause,パンを食べた犬に子供が噛みついた,犬がパンを食べた,
iv np2 に np1 が tv-ni,np1 が np2 に tv-ni,entailment,overlap-nonorder,2,gp-scrambling;ni;relative-clause,パンを食べた犬に子供が噛みついた,子供が犬に噛みついた,
iv np2 に np1 が tv-ni,np1 に np2 が tv-ni,non-entailment,overlap-nonorder,2,gp-scrambling;ni;particle-swap,パンを食べた犬に子供が噛みついた,子供に犬が噛みついた,
np1 が np2 を tv-o1 np3 を tv-o2,np1 が np2 を tv-o1,non-entailment,subsequence,3,gp-double-o;o,子供がパンを食べた子犬を追いかけた,子供がパンを食べた,
np1 が np2 を tv-o1 np3 を tv-o2,np3 が np2 を tv-o1,entailment,overlap-nonorder,3,gp-double-o;o;relative-clause,子供がパンを食べた子犬を追いかけた,子犬がパンを食べた,
np1 が np2 を tv-o1 np3 を tv-o2,np1 が np3 を tv-o2,entailment,overlap-order,3,gp-double-o;o;relative-clause,子供がパンを食べた子犬を追いかけた,子供が子犬を追いかけた,
np1 が np2 を tv-o1 np3 を tv-o2,np1 を np3 が tv-o2,non-entailment,overlap-nonorder,3,gp-double-o;o;particle-swap,子供がパンを食べた子犬を追いかけた,子供を子犬が追いかけた,
np1 が np2 を np-place で tv-o1 np3 を tv-o2,np1 が np2 を np-place で tv-o1,non-entailment,subsequence,4,gp-double-o;o,子供がパンを公園で食べた子犬を追いかけた,子供がパンを公園で食べた,
np1 が np2 を np-place で tv-o1 np3 を tv-o2,np3 が np2 を np-place で tv-o1,entailment,overlap-nonorder,4,gp-double-o;o;relative-clause,子供がパンを公園で食べた子犬を追いかけた,子犬がパンを公園で食べた,
np1 が np2 を np-place で tv-o1 np3 を tv-o2,np1 が np3 を tv-o2,entailment,overlap-order,4,gp-double-o;o;relative-clause,子供がパンを公園で食べた子犬を追いかけた,子供が子犬を追いかけた,
np1 が np2 を np-place で tv-o1 np3 を tv-o2,np1 を np3 が tv-o2,non-entailment,overlap-nonorder,4,gp-double-o;o;particle-swap,子供がパンを公園で食べた子犬を追いかけた,子供を子犬が追いかけた,
np1 が np2 を tv-o np3 に tv-ni,np1 が np2 を tv-o,non-entailment,subsequence,3,gp-normal;ni,子供が猫を追いかけた犬に微笑んだ,子供が猫を追いかけた,
np1 が np2 を tv-o np3 に tv-ni,np3 が np2 を tv-o,entailment,overlap-nonorder,3,gp-normal;ni;relative-clause,子供が猫を追いかけた犬に微笑んだ,犬が猫を追いかけた,
np1 が np2 を tv-o np3 に tv-ni,np1 が np3 に tv-ni,entailment,overlap-order,3,gp-normal;ni;relative-clause,子供が猫を追いかけた犬に微笑んだ,子供が犬に微笑んだ,
np1 が np2 を tv-o np3 に tv-ni,np1 に np3 が tv-ni,non-entailment,overlap-nonorder,3,gp-normal;ni;particle-swap,子供が猫を追いかけた犬に微笑んだ,子供に犬が微笑んだ,
np2 を tv-o np3 に np1 が tv-ni,np1 が np2 を tv-o,non-entailment,overlap-nonorder,3,gp-scrambling;ni,猫を追いかけた犬に子供が微笑んだ,子供が猫を追いかけた,
np2 を tv-o np3 に np1 が tv-ni,np3 が np2 を tv-o,entailment,overlap-nonorder,3,gp-scrambling;ni;relative-clause,猫を追いかけた犬に子供が微笑んだ,犬が猫を追いかけた,
np2 を tv-o np3 に np1 が tv-ni,np1 が np3 に tv-ni,entailment,overlap-nonorder,3,gp-scrambling;ni;relative-clause,猫を追いかけた犬に子供が微笑んだ,子供が犬に微笑んだ,
np2 を tv-o np3 に np1 が tv-ni,np1 に np3 が tv-ni,non-entailment,overlap-nonorder,3,gp-scrambling;ni;particle-swap,猫を追いかけた犬に子供が微笑んだ,子供に犬が微笑んだ,
np1 が np2 を np-place で tv-o np3 に tv-ni,np1 が np2 を np-place で tv-o,non-entailment,subsequence,4,gp-normal;ni;de,陽子が子供を交差点で見かけた男に声をかけた,陽子が子供を交差点で見かけた,
np1 が np2 を np-place で tv-o np3 に tv-ni,np3 が np2 を np-place で tv-o,entailment,overlap-nonorder,4,gp-normal;ni;de;relative-clause,陽子が子供を交差点で見かけた男に声をかけた,男が子供を交差点で見かけた,
np1 が np2 を np-place で tv-o np3 に tv-ni,np1 が np3 に tv-ni,entailment,overlap-order,4,gp-normal;ni;de;relative-clause,陽子が子供を交差点で見かけた男に声をかけた,陽子が男に声をかけた,
np1 が np2 を np-place で tv-o np3 に tv-ni,np1 に np3 が tv-ni,non-entailment,overlap-nonorder,4,gp-normal;ni;de;particle-swap,陽子が子供を交差点で見かけた男に声をかけた,陽子に男が声をかけた,
np2 を np-place で tv-o np3 に np1 が tv-ni,np1 が np2 を np-place で tv-o,non-entailment,overlap-nonorder,4,gp-scrambling;ni;de,子供を交差点で見かけた男に陽子が声をかけた,陽子が子供を交差点で見かけた,
np2 を np-place で tv-o np3 に np1 が tv-ni,np3 が np2 を np-place で tv-o,entailment,overlap-nonorder,4,gp-scrambling;ni;de;relative-clause,子供を交差点で見かけた男に陽子が声をかけた,男が子供を交差点で見かけた,
np2 を np-place で tv-o np3 に np1 が tv-ni,np1 が np3 に tv-ni,entailment,overlap-nonorder,4,gp-scrambling;ni;de;relative-clause,子供を交差点で見かけた男に陽子が声をかけた,陽子が男に声をかけた,
np2 を np-place で tv-o np3 に np1 が tv-ni,np1 に np3 が tv-ni,non-entailment,overlap-nonorder,4,gp-scrambling;ni;de;particle-swap,子供を交差点で見かけた男に陽子が声をかけた,陽子に男が声をかけた,
np1 が np2 を iv-causative,np1 が iv-orig,non-entailment,overlap-order,2,causative,男の子が女の子を笑わせている,男の子が笑っている,"動詞の活用の問題, 助詞の扱い"
np1 が np2 を iv-causative,np2 が iv-orig,entailment,overlap-nonorder,2,causative,男の子が女の子を笑わせている,女の子が笑っている,
np1 が np-place で np2 を iv-causative,np1 が iv-orig,non-entailment,overlap-order,3,causative,男の子が公園で女の子を笑わせている,男の子が笑っている,
np1 が np-place で np2 を iv-causative,np2 が iv-orig,entailment,overlap-nonorder,3,causative,男の子が公園で女の子を笑わせている,女の子が笑っている,
np1 が np2 に tv-passive,np1 が np2 を tv-orig,non-entailment,overlap-order,2,passive,犬が猫に追いかけられている,犬が猫を追いかけている,"動詞の活用の問題, 助詞の扱い"
np1 が np2 に tv-passive,np2 が np1 を tv-orig,entailment,overlap-nonorder,2,passive,犬が猫に追いかけられている,猫が犬を追いかけている,
np1 が np-place で np2 に tv-passive,np1 が np-place で np2 を tv-orig,non-entailment,overlap-order,3,passive,犬が公園で猫に追いかけられている,犬が公園で猫を追いかけている,
np1 が np-place で np2 に tv-passive,np2 が np-place で np1 を tv-orig,entailment,overlap-nonorder,3,passive;np-swap,犬が公園で猫に追いかけられている,猫が公園で犬を追いかけている,
np1 が np-place で iv neg,np1 が np-place で iv,non-entailment,subsequence,2,negation,子供が公園で遊んでいるのではない,子供が公園で遊んでいる,
np1 が np-place で iv neg,np-place で np1 が iv neg,entailment,overlap-nonorder,2,negation;scrambling,子供が公園で遊んでいるのではない,公園で子供が遊んでいるのではない,
np1 が np2 を tv-o neg,np1 が np2 を tv-o,non-entailment,subsequence,2,negation,子供が猫を追いかけているのではない,子供が猫を追いかけている,
np1 が np2 を tv-o neg,np2 を np1 が tv-o neg,entailment,overlap-nonorder,2,negation;scrambling,子供が猫を追いかけているのではない,猫を子供が追いかけているのではない,
np1 が np2 に tv-ni neg,np1 が np2 に tv-ni,non-entailment,subsequence,2,negation,子供が猫に微笑んでいるのではない,子供が猫に微笑んでいる,
np1 が np2 に tv-ni neg,np2 に np1 が tv-ni neg,entailment,overlap-nonorder,2,negation;scrambling,子供が猫に微笑んでいるのではない,猫に子供が微笑んでいるのではない,
np1 が np-place で iv modal,np1 が np-place で iv,non-entailment,subsequence,2,modal,子供が公園で遊んでいるかもしれない,子供が公園で遊んでいる,
np1 が np-place で iv modal,np-place で np1 が iv modal,entailment,overlap-nonorder,2,modal;scrambling,子供が公園で遊んでいるかもしれない,公園で子供が遊んでいるかもしれない,
np1 が np2 を tv-o modal,np1 が np2 を tv-o,non-entailment,subsequence,2,modal,子供が猫を追いかけているかもしれない,子供が猫を追いかけている,
np1 が np2 を tv-o modal,np2 を np1 が tv-o modal,entailment,overlap-nonorder,2,modal;scrambling,子供が猫を追いかけているかもしれない,猫を子供が追いかけているかもしれない,
np1 が np2 に tv-ni modal,np1 が np2 に tv-ni,non-entailment,subsequence,2,modal,子供が猫に微笑んでいるかもしれない,子供が猫に微笑んでいる,
np1 が np2 に tv-ni modal,np2 に np1 が tv-ni modal,entailment,overlap-nonorder,2,modal;scrambling,子供が猫に微笑んでいるかもしれない,猫に子供が微笑んでいるかもしれない,
np1 が iv reason np2 が np3 を tv-o,np1 が iv,entailment,constituent,3,subordination;reason,,,
np1 が iv reason np2 が np3 を tv-o,np2 が np3 を tv-o,entailment,constituent,3,subordination;reason,,,
np1 が np2 に tv-ni reason np3 が np4 を tv-o,np1 が np2 に tv-ni,entailment,constituent,4,subordination;reason,,,
np1 が np2 に tv-ni reason np3 が np4 を tv-o,np3 が np4 を tv-o,entailment,constituent,4,subordination;reason,,,
np1 が iv concession np2 が np3 を tv-o,np1 が iv,entailment,constituent,3,sentence-coordination;concession,,,
np1 が iv concession np2 が np3 を tv-o,np2 が np3 を tv-o,entailment,constituent,3,sentence-coordination;concession,,,
np1 が np2 に tv-ni concession np3 は np4 を tv-o,np1 が np2 に tv-ni,entailment,constituent,4,sentence-coordination;concession,,,
np1 が np2 に tv-ni concession np3 は np4 を tv-o,np3 は np4 を tv-o,entailment,constituent,4,sentence-coordination;concession,,,
np1 が iv factive-verb,np1 が iv,entailment,constituent,1,factive-verb;factive,,,
np1 が np2 を tv-o factive-verb,np1 が np2 を tv-o,entailment,constituent,2,factive-verb;factive,,,
np1 に np2 が tv-ni factive-verb,np2 が np1 に tv-ni factive-verb,entailment,overlap-full,2,factive-verb;factive;scrambling,,,
np1 を np2 が tv-o factive-verb,np1 が np2 を tv-o factive-verb,non-entailment,overlap-full,2,factive-verb;factive;particle-swap,,,
factive-adverb np1 が iv,np1 が iv,entailment,constituent,1,factive-adverb;factive,,,
factive-adverb np1 が np2 を tv-o,np1 が np2 を tv-o,entailment,constituent,2,factive-adverb;factive,,,
factive-adverb np1 に np2 が tv-ni,factive-adverb np2 が np1 に tv-ni,entailment,overlap-full,2,factive-adverb;factive;scrambling,,,
factive-adverb np1 を np2 が tv-o,factive-adverb np1 が np2 を tv-o,non-entailment,overlap-full,1,factive-adverb;factive;particle-swap,,,
cond-adverb np1 が iv conditional np2 が np3 を tv-o cond-modal,np1 が iv,non-entailment,constituent,3,subordination;conditional,,,
cond-adverb np1 が iv conditional np2 が np3 を tv-o cond-modal,np2 が np3 を tv-o,non-entailment,constituent,3,subordination;conditional,,,
np1 が np2 を tv-o conditional np3 が np4 に tv-ni cond-modal,np1 が np2 を tv-o,non-entailment,constituent,4,subordination;conditional,,,
np1 が np2 を tv-o conditional np3 が np4 に tv-ni cond-modal,np3 が np4 に tv-ni,non-entailment,constituent,4,subordination;conditional,,,
np1 が iv disjunction np2 が np3 を tv-o,np1 が iv,non-entailment,constituent,3,sentence-coordination;sentence-disjunction,,,
np1 が iv disjunction np2 が np3 を tv-o,np2 が np3 を tv-o,non-entailment,constituent,3,sentence-coordination;sentence-disjunction,,,
np1 が np2 に tv-ni disjunction np3 が np4 を tv-o,np1 が np2 に tv-ni,non-entailment,constituent,4,sentence-coordination;sentence-disjunction,,,
np1 が np2 に tv-ni disjunction np3 が np4 を tv-o,np3 が np4 を tv-o,non-entailment,constituent,4,sentence-coordination;sentence-disjunction,,,
np1 が iv non-factive-verb,np1 が iv,non-entailment,constituent,1,factive-verb;non-factive,,,
np1 が np2 を tv-o non-factive-verb,np1 が np2 を tv-o,non-entailment,constituent,2,factive-verb;non-factive,,,
np1 に np2 が tv-ni non-factive-verb,np2 に np1 が tv-ni non-factive-verb,non-entailment,overlap-full,2,factive-verb;non-factive;np-swap,,,
np1 を np2 が tv-o non-factive-verb,np2 が np1 を tv-o non-factive-verb,entailment,overlap-full,2,factive-verb;non-factive;scrambling,,,
non-factive-adverb np1 が iv,np1 が iv,non-entailment,constituent,1,factive-adverb;non-factive,,,
non-factive-adverb np1 が np2 を tv-o,np1 が np2 を tv-o,non-entailment,constituent,2,factive-adverb;non-factive,,,
non-factive-adverb np1 に np2 が tv-ni,non-factive-adverb np2 に np1 が tv-ni,non-entailment,overlap-full,2,factive-adverb;non-factive;np-swap,,,
non-factive-adverb np1 を np2 が tv-o,non-factive-adverb np2 が np1 を tv-o,entailment,overlap-full,2,factive-adverb;non-factive;scrambling,,,